ticker,setup,entry_date,exit_date,entry,exit,qty,days,pnl,pnl_pct,r,reason,m_r6m
CARS,pullback,2023-03-27,2023-05-04,18.39,16.9188,13,27,-21.19,-8.82,-1.108,손절,58.7
VIPS,pullback,2023-04-27,2023-05-05,13.4902,13.436,15,6,-2.63,-1.29,-0.162,SMA50 이탈,109.8
COTY,pullback,2023-05-04,2023-05-10,11.94,11.66,18,4,-6.95,-3.22,-0.404,SMA50 이탈,77.8
HL,pullback,2023-05-05,2023-05-10,5.8403,5.6259,37,3,-9.84,-4.53,-1.241,손절,31.8
IOT,pullback,2023-05-10,2023-05-11,19.53,19.12,11,1,-6.42,-2.98,-0.374,SMA50 이탈,99.0
GGAL,pullback,2023-05-11,2023-05-16,9.8877,9.2519,22,3,-15.88,-7.27,-0.913,SMA50 이탈,59.8
INTA,pullback,2023-05-10,2023-05-17,44.12,40.5904,4,5,-15.64,-8.82,-1.108,손절,112.7
MNSO,pullback,2023-05-16,2023-05-18,16.2839,14.9812,12,2,-17.32,-8.82,-1.108,손절,156.0
OR,pullback,2023-03-13,2023-05-24,13.0546,15.1687,22,51,38.97,13.51,2.108,SMA50 이탈,30.4
TGLS,pullback,2023-05-01,2023-05-24,43.0988,39.6843,1,17,-3.79,-8.75,-1.109,손절,112.0
ALDX,pullback,2023-05-02,2023-05-24,10.11,9.61,22,16,-12.95,-5.8,-0.728,SMA50 이탈,81.9
AUPH,pullback,2023-05-18,2023-05-24,10.67,10.44,16,4,-5.2,-3.03,-0.433,SMA50 이탈,112.1
YPF,pullback,2023-05-24,2023-05-25,11.26,11.06,20,1,-6.01,-2.66,-0.392,SMA50 이탈,51.8
AGI,pullback,2023-05-24,2023-05-25,12.7272,12.1268,18,1,-12.82,-5.57,-1.029,SMA50 이탈,45.0
TKO,pullback,2023-05-25,2023-05-26,95.6771,94.3481,2,1,-4.37,-2.27,-0.649,SMA50 이탈,30.0
WING,pullback,2023-05-25,2023-05-30,203.7631,194.4902,1,2,-11.07,-5.41,-1.193,손절,31.2
LTH,pullback,2023-05-30,2023-05-31,20.55,18.906,8,1,-14.57,-8.82,-1.108,손절,61.2
SRAD,pullback,2023-05-17,2023-06-15,12.23,11.98,15,20,-5.38,-2.92,-0.367,SMA50 이탈,23.2
BMEA,pullback,2023-05-31,2023-06-22,33.88,32.59,5,15,5.42,3.18,0.4,SMA50 이탈,360.1
PTGX,pullback,2023-05-26,2023-07-03,25.29,23.8095,8,24,4.07,2.0,0.344,손절,223.5
